time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
4.38,5.361309498846744,7.148412665128995,5.4256284998086795,7.234171333078241,0.6425886224236761,0.8567848298982321
4.4,5.365183973029572,7.153578630706099,5.429112797046236,7.238817062728318,0.6386905011532562,0.851587334871005
4.42,5.369034943574617,7.1587132580994925,5.432575957567863,7.243434610090485,0.6348160269704284,0.8464213692939007
4.44,5.3728625530614815,7.1638167374153126,5.436018109594755,7.248024146126342,0.6309650564253833,0.8412867419005075
4.46,5.3766669432048415,7.168889257606459,5.439439380570285,7.25258584076038,0.6271374469385185,0.8361832625846874
4.48,5.380448254859691,7.173931006479592,5.4428398971647125,7.257119862886285,0.6233330567951585,0.8311107423935411
4.5,5.3842066280265595,7.178942170702083,5.446219785279887,7.261626380373185,0.619551745140309,0.8260689935204084
4.5200000000000005,5.387942201856693,7.183922935808928,5.4495791700539,7.2661055600718685,0.6157933719734405,0.8210578292979172
4.54,5.391655114657208,7.188873486209616,5.452918175865719,7.270557567820959,0.6120577981433071,0.816077064191072
4.5600000000000005,5.3953455038962135,7.193794005194955,5.4562369263397965,7.274982568453062,0.6083448853427917,0.8111265137903843
4.58,5.399013506207895,7.1986846749438635,5.4595355443506435,7.279380725800858,0.6046544961037865,0.8062059948050448
4.6000000000000005,5.40265925739758,7.203545676530109,5.462814152027377,7.283752202703172,0.6009864937921048,0.8013153250561365
4.62,5.406282892446761,7.208377189929018,5.4660728707582535,7.288097161011008,0.5973407426024204,0.7964543234698906
4.64,5.409884545518097,7.213179394024133,5.469311821195145,7.292415761593529,0.593717107553239,0.7916228100709821
4.66,5.413464349960378,7.217952466613841,5.472531123258021,7.296708164344031,0.5901154544819027,0.7868206059758673
4.68,5.417022438313464,7.222696584417956,5.475730896139382,7.300974528185845,0.5865356500396217,0.7820475333861587
4.7,5.42055894231319,7.227411923084257,5.478911258308672,7.305215011078234,0.582977561686536,0.7773034155820442
4.72,5.424073992896246,7.232098657194999,5.482072327516671,7.309429770022233,0.5794410576868101,0.7725880769157429
4.74,5.427567720205023,7.236756960273368,5.485214220799845,7.3136189610664655,0.575926007103754,0.7679013428050014
4.76,5.431040253592433,7.241387004789914,5.4883370544846874,7.3177827393129204,0.5724322797949766,0.7632430397266319
4.78,5.434491721626695,7.24598896216893,5.4914409441920204,7.321921258922697,0.5689597464075673,0.7586129952100862
4.8,5.4379222520961,7.250563002794803,5.49452600484128,7.326034673121709,0.5655082783733052,0.75401103783107
4.82,5.441331972013738,7.255109296018321,5.4975923506547675,7.330123134206359,0.5620777479039001,0.7494369972051969
4.84,5.444721007622203,7.259628010162942,5.500640095161882,7.334186793549177,0.5586680279862621,0.744890703981679
4.86,5.448089484398267,7.264119312531027,5.50366935120332,7.338225801604427,0.5552789923777972,0.7403719898370582
4.88,5.451437527057523,7.2685833694100355,5.506680230935255,7.3422403079136735,0.5519105156017332,0.7358806874689732
4.9,5.454765259559007,7.27302034607868,5.5096728458334905,7.346230461111321,0.5485624729424767,0.7314166305899645
4.92,5.458072805109783,7.277430406813048,5.512647306697587,7.350196408930117,0.5452347404409927,0.7269796539213198
4.94,5.461360286169508,7.281813714892681,5.515603723654965,7.354138298206619,0.5419271948902171,0.722569593186952
4.96,5.464627824454963,7.286170432606621,5.518542206164977,7.358056274886636,0.5386397138304924,0.7181862851073193
4.98,5.467875540944563,7.290500721259422,5.52146286302297,7.3619504840306265,0.5353721755450369,0.713829567393379
5.0,5.471103555882834,7.294804741177116,5.524365802364306,7.365821069819074,0.5321244590554368,0.7094992787405783
5.0200000000000005,5.474311988784865,7.299082651713157,5.5272511316683675,7.3696681755578215,0.5288964441171657,0.7051952588228838
